ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name
weighted,combo,,"{'how': 'weighted', 'models': 'top_5'}",,258,False,,2,12,1022.6638207732631,13.384416051585669,846.7475903208334,-0.1614562329708764,-72.38687741275709,-870.0,0.95,862.1392891472881,430.4648070006142,,311.71987572474524,0.33321497200452455,,,,,"['mlp', 'knn', 'svr', 'elasticnet', 'prophet']","(0.44225093682243577, 0.23760595910134502, 0.17731547881613055, 0.1026229946398673, 0.040204630620221435)",31688.031748856873,0.0783736094368316,24995.702357483857,-1.3056304514549573,False,"Orlando, FL"
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'activation': 'tanh', 'hidden_layer_sizes': (25,), 'solver': 'lbfgs', 'random_state': 20}",minmax,258,True,True,2,12,1021.0571304951789,30.908037882518496,849.3733173819566,-0.15780961029735718,-209.2395721784125,-870.0,0.95,849.0571433038107,408.61073754699163,,285.64789312228766,0.3991997742906952,6,rmse,313.22792952093596,,,,32909.69770421383,0.080958530800197,25835.826930253806,-1.4868349165472132,False,"Orlando, FL"
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'max_depth': 2, 'max_features': 'sqrt'}",minmax,258,True,True,2,12,3950.6909948917955,1.0949776486461478,2793.038993428428,-0.17002069376375362,1456.9266719599245,2096.0,0.95,2129.710931172701,1166.0212622853412,1.402809136867281,888.9814164013964,0.593258634739134,6,rmse,6935.953986181159,,,,62355.84158679335,0.06900570311009101,56849.68326612902,-0.9835674291807632,True,"Los Angeles-Long Beach-Anaheim, CA"
svr,svr,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'kernel': 'linear', 'C': 1.0, 'epsilon': 0.01}",minmax,258,True,True,2,12,3660.7243401785686,0.9551861019200327,3100.010730030963,-0.004572931626832588,132.03538578263695,2096.0,0.95,3358.1225592142664,1832.0992714253098,1.3318679221429264,1326.6162271518228,-0.004161130327360096,6,rmse,3753.1669989933353,,,,105553.27209845466,0.10919513478526811,90895.64943375916,-4.683764561032099,False,"Los Angeles-Long Beach-Anaheim, CA"
prophet,prophet,,{'n_changepoints': 1},,258,True,True,2,12,3928.125131760322,1.0773095225251004,3354.442525344135,-0.15669283650000554,85.35416195256823,2096.0,0.95,3023.595780320608,1718.9139574105222,1.899301683652099,1228.9093964613148,0.03258568339029144,6,rmse,3811.073462415412,True,,,107347.09198130574,0.11050389424935803,92037.02982420083,-4.878591010452548,False,"Los Angeles-Long Beach-Anaheim, CA"
avg,combo,,"{'how': 'simple', 'models': 'top_3'}",,258,False,,2,12,3748.9086040855414,1.0109085015705468,3198.221191897002,-0.053554784197352046,73.37597048245316,2096.0,0.95,3470.4507558216656,1811.5760716903753,1.299302842292708,1318.8691885347562,0.018210114358592433,,,,,"['svr', 'mlp', 'prophet']",,107767.20073395105,0.11115455120281625,92557.59429515024,-4.9246934253726256,False,"Los Angeles-Long Beach-Anaheim, CA"
weighted,combo,,"{'how': 'weighted', 'models': 'top_5'}",,258,False,,2,12,3736.6643248894648,1.0058353359824526,3186.964839690365,-0.04668400981261289,67.75234754493313,2096.0,0.95,2845.8499382899654,1812.38992369255,1.243777090711635,1320.0611889078218,0.01732777642154293,,,,,"['svr', 'mlp', 'prophet', 'elasticnet', 'knn']","(0.2999997423495647, 0.24541345020960068, 0.24142052714217224, 0.18589357644870197, 0.027272703849960427)",108119.85125552845,0.1115223816488346,92863.40369286039,-4.963532046662378,False,"Los Angeles-Long Beach-Anaheim, CA"
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'alpha': 2.0, 'l1_ratio': 0.0}",minmax,258,True,True,2,12,3674.3183299867214,0.9904346655747291,3138.2836157983675,-0.012047687320938971,61.36738163391262,2096.0,0.95,3496.537735795414,1820.75323956815,1.0462775160366926,1330.4313434134826,0.008237723452177326,6,rmse,3865.9627149922394,,,,109664.74952995083,0.11308894226553785,94169.64073346427,-5.135172532276675,False,"Los Angeles-Long Beach-Anaheim, CA"
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'activation': 'tanh', 'hidden_layer_sizes': (25,), 'solver': 'adam', 'random_state': 20}",minmax,258,True,True,2,12,3661.818305580095,1.0002298802665082,3140.210320315907,-0.005173431492626612,2.738363712154288,2096.0,0.95,3815.7526578719044,1828.0699583445005,0.9995011260084029,1336.0058740765849,0.00025089078364060047,6,rmse,3807.1263959903563,,,,110405.80417267107,0.11376462457382207,94740.1036274903,-5.218368992165304,False,"Los Angeles-Long Beach-Anaheim, CA"
knn,knn,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'n_neighbors': 16, 'weights': 'uniform'}",minmax,258,True,True,2,12,4027.018118140037,1.0856939857801826,3413.46875,-0.2156668811875302,-166.625,2096.0,0.95,3166.355738964574,1784.3389103786003,2.146346378604748,1317.9492021276596,0.047510724267580406,6,rmse,4022.7619094607544,,,,112143.00152320167,0.11528317840354317,96032.90625,-5.415596326339671,False,"Los Angeles-Long Beach-Anaheim, CA"
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'max_depth': 2, 'max_features': None}",minmax,258,True,True,2,12,3929.8830402356984,3.4191811644111905,3304.1255423403495,-1.2174990511633248,3856.89848754087,573.0,0.95,1150.9143405681814,601.5102094164913,1.3350137226108374,471.1145995774445,0.7434796798789051,6,rmse,3587.65332985862,,,,26560.163621224958,0.037088796542860604,24380.400619083783,0.582127733760843,True,"Seattle, WA"
prophet,prophet,,{'n_changepoints': 4},,258,True,True,2,12,2716.7425107099766,0.9693906682599559,2092.8735474689,-0.0597444460687957,231.34700960502352,573.0,0.95,2400.4565600327956,1120.6155750297573,1.4885936053185398,763.9615327129934,0.027057586962206726,6,rmse,3104.0064540908074,True,,,103847.933750422,0.13223672699845385,89738.81711690933,-5.388189282833483,False,"Seattle, WA"
knn,knn,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'n_neighbors': 12, 'weights': 'uniform'}",minmax,258,True,True,2,12,2889.5817622962963,1.1469845706910997,2291.826388888889,-0.19887572691116873,449.0,573.0,0.95,1616.5075676801428,1097.5410481857698,1.2816244293022754,766.699645390071,0.14596177159541568,6,rmse,3195.8475332872995,,,,104135.62926084752,0.13297272120150647,90207.86805555562,-5.423633399282044,False,"Seattle, WA"
svr,svr,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,258,True,True,2,12,2660.7553915561307,0.9575367157781671,2041.0138823794305,-0.01651570748013831,52.72555253843113,573.0,0.95,2339.803323189819,1186.1243874427428,1.1175470658652193,823.7651511439427,0.0025382792188819447,6,rmse,3019.0410988105127,,,,105311.20814136845,0.13424793804744273,91089.9115055846,-5.5694838039566195,False,"Seattle, WA"
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'alpha': 2.0, 'l1_ratio': 0.0}",minmax,258,True,True,2,12,2669.4559032340385,0.9666151666762898,2048.3977721723436,-0.023174468241512702,66.95497123032385,573.0,0.95,2629.7242656205467,1180.591015807151,1.056627423944405,818.7607316485323,0.01182305978152176,6,rmse,3064.5271040562425,,,,105385.85967909681,0.13434357772484343,91154.84150072548,-5.578800872832323,False,"Seattle, WA"
weighted,combo,,"{'how': 'weighted', 'models': 'top_5'}",,258,False,,2,12,2678.3869169050936,0.9460419430001686,2057.77255141471,-0.030032248746209467,82.65408905617979,573.0,0.95,2258.0158418130836,1177.9664371558845,1.0321241738885718,817.3195211785439,0.016211819649186388,,,,,"['svr', 'mlp', 'elasticnet', 'prophet', 'knn']","(0.2942583762807041, 0.2878466340719902, 0.22543818426618714, 0.1657060439010546, 0.02675076148006401)",105496.26440544533,0.13441256052216716,91207.9917260559,-5.592592308854567,False,"Seattle, WA"
avg,combo,,"{'how': 'simple', 'models': 'top_3'}",,258,False,,2,12,2665.816507565286,0.9733380130994629,2048.467125116827,-0.02038648560410583,41.860130191402554,573.0,0.95,1854.6317959156452,1184.4817604030616,1.0454723235598034,822.6726899590918,0.005299074100550416,,,,,"['svr', 'mlp', 'elasticnet']",,105848.6325601865,0.13487092494753794,91517.93138040055,-5.636705703005717,False,"Seattle, WA"
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR6', 'AR9', 'AR12', 'AR24', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', '2008_recession', 't', 't^2', 't^3']","{'activation': 'tanh', 'hidden_layer_sizes': (25,), 'solver': 'adam', 'random_state': 20}",minmax,258,True,True,2,12,2667.5056131753868,0.9958621568439318,2055.9897207987074,-0.02167996290411156,5.899866805452683,573.0,0.95,1992.5399573823677,1187.6130084884187,0.9974684962471136,826.4143742006048,3.302043475317262e-05,6,rmse,3023.2788745446796,,,,106849.17028772343,0.13602125907032767,92309.04113489161,-5.762766058983903,False,"Seattle, WA"
